lca1 1.113421539546483874e-01
lca10 7.914678422329100849e-02
lca11 2.549277322650982114e-02
lca12 9.033672207043468017e-02
lca2 1.531336530261565021e-01
lca3 7.676736889716517798e-02
lca4 7.772152202867249615e-02
lca5 5.429618665260643740e-02
lca6 1.011976030538602883e-01
lca7 1.636938118172016621e-01
lca8 9.941881190027170023e-02
lca9 4.744701908153721448e-02
rca1 1.170242810017029789e-01
rca10 1.258398100788575835e-01
rca2 6.825680294977408804e-04
rca3 6.535369224061010618e-02
rca4 2.965332429052001603e-02
rca5 3.074016123882107598e-02
rca6 5.104027172200895079e-02
rca7 2.415035237778742974e-02
rca8 1.440511083954498957e-02
rca9 1.155400596078708236e-01
