# Name, Target, Result
PaoMin           9.1992180000e+04   1.0866359724e+05  
PaoMin_conv      0.0000000000e+00   7.4351465955e+01  
PaoMax           1.7598504000e+05   1.6468021490e+05  
PaoMax_conv      0.0000000000e+00   1.8320506811e+01  
PaoMean          1.1998980000e+05   1.3749525865e+05  
PaoMean_conv     0.0000000000e+00   2.0002380280e+01  
AorCorSplit      2.3034097339e+00   2.1665050376e+00  
AbsQin           6.6300000000e+01   5.7195848249e+01  
AbsQin_conv      0.0000000000e+00   4.3962823793e-02  
Qsystole_perc    9.0000000000e-01   9.3584489704e-01  
PpulMean         1.8665080000e+04   2.1352047469e+04  
EFLV             6.8000000000e-01   6.0426446586e-01  
ESV              3.1200000000e+01   3.7459356439e+01  
EDV              9.7500000000e+01   9.4657550834e+01  
QlaRatio         nan                4.9569911282e-01  
mitValveTime     nan                5.2400000000e-01  
aorValveTime     nan                2.5100000000e-01  
pulValveTime     nan                3.1200000000e-01  
PraMean          nan                4.7562817946e+03  
LCorMaxRatio     2.4000000000e+00   2.0776697342e+00  
LCorTotRatio     4.6670000000e+00   5.6807813304e+00  
LThirdFF         4.6000000000e-01   4.6946975597e-01  
LHalfFF          6.7000000000e-01   6.5973867441e-01  
LGradOK          5.0000000000e+00   5.0000000000e+00  
RCorMaxRatio     1.4000000000e+00   1.0273934242e+00  
RCorTotRatio     1.2857000000e+00   2.7963819344e+00  
RThirdFF         3.9000000000e-01   4.1782066643e-01  
RHalfFF          5.7000000000e-01   5.7186506516e-01  
RGradOK          5.0000000000e+00   4.0000000000e+00  
